sale_hour,sale_date,drink_name,milk_type,quantity,revenue,takeaway,syrup,location
09:58:00,25/03/2026,Green tea,0,2,0,No,0,Coburt
10:01:00,25/03/2026,Americano,0,2,0,No,0,Coburt
10:26:00,25/03/2026,Flat White,Regular,1,0,No,0,Coburt
10:26:00,25/03/2026,Tea Iris Break,0,1,0,No,0,Coburt
10:02:00,25/03/2026,Flat White,Regular,1,0,No,0,Coburt
08:53:00,25/03/2026,Cappuccino,Regular,1,5.5,No,0,Lemuels
09:00:00,25/03/2026,Latte,Regular,1,5.5,No,0,Lemuels
09:20:00,25/03/2026,Americano,0,1,4.5,No,0,Lemuels
09:29:00,25/03/2026,Cappuccino,Regular,1,5.5,No,0,Lemuels
09:29:00,25/03/2026,Large French P,0,2,7,No,0,Lemuels
09:31:00,25/03/2026,Spark Small,0,1,4,No,0,Lemuels
09:33:00,25/03/2026,Americano,0,1,4.5,No,0,Lemuels
09:33:00,25/03/2026,Cappuccino,Regular,2,5.5,No,0,Lemuels
09:33:00,25/03/2026,Flat White,Regular,3,5.5,No,0,Lemuels
09:54:00,25/03/2026,Flat White,Regular,1,5.5,No,0,Lemuels
09:54:00,25/03/2026,Flat White,Regular,2,5.5,No,0,Lemuels
09:54:00,25/03/2026,Tea Iris Break,0,1,4.5,No,0,Lemuels
09:54:00,25/03/2026,Flat White,Regular,2,11,No,0,Lemuels
09:57:00,25/03/2026,Coke Cola,0,1,4.5,No,0,Lemuels
10:05:00,25/03/2026,Americano,0,2,9,No,0,Lemuels
10:05:00,25/03/2026,Mocha,Regular,1,6.5,No,0,Lemuels
10:05:00,25/03/2026,Cappuccino,Regular,1,5.5,No,0,Lemuels
10:05:00,25/03/2026,Tea Iris Break,0,2,4.5,No,0,Lemuels
10:11:00,25/03/2026,Americano Dec,0,1,4.5,No,0,Lemuels
10:11:00,25/03/2026,Flat White,Regular,2,5.5,No,0,Lemuels
10:05:00,25/03/2026,Small French P,0,1,5.5,No,0,Lemuels
10:17:00,25/03/2026,Cappuccino,Regular,1,5.5,No,0,Lemuels
10:32:00,25/03/2026,Flat White,Regular,1,5.5,No,0,Lemuels
10:42:00,25/03/2026,Americano,0,1,4.5,No,0,Lemuels
10:53:00,25/03/2026,Cappuccino,Regular,1,5.5,No,0,Lemuels
10:53:00,25/03/2026,Americano,hot Milk OTS,2,4.5,No,0,Lemuels
10:54:00,25/03/2026,Tea Iris Break,0,1,4.5,No,0,Lemuels
10:58:00,25/03/2026,Americano,hot Milk OTS,1,4.5,No,0,Lemuels
10:58:00,25/03/2026,Cappuccino,Regular,2,5.5,No,0,Lemuels
10:59:00,25/03/2026,Flat White,Regular,1,5.5,No,0,Lemuels
10:59:00,25/03/2026,Cappuccino,Regular,1,5.5,No,0,Lemuels
10:59:00,25/03/2026,Cappuccino,Regular,1,5.5,No,0,Lemuels
10:59:00,25/03/2026,Americano,0,1,4.5,No,0,Lemuels
11:06:00,25/03/2026,Americano,0,1,4.5,No,0,Lemuels
11:06:00,25/03/2026,Americano,0,1,4.5,No,0,Lemuels
11:11:00,25/03/2026,Americano,0,1,4.5,No,0,Lemuels
11:11:00,25/03/2026,Cappuccino,0,1,5.5,No,0,Lemuels
11:23:00,25/03/2026,Spark Small,0,1,4,No,0,Lemuels
11:24:00,25/03/2026,Cappuccino,OAT MILK,1,5.5,No,0,Lemuels
11:24:00,25/03/2026,Orange Juice,0,1,6,No,0,Lemuels
11:30:00,25/03/2026,Flat White,Regular,1,5.5,No,0,Lemuels
11:33:00,25/03/2026,Large French P,0,1,7,No,0,Lemuels
11:35:00,25/03/2026,Diet Coke,0,1,4,No,0,Lemuels
11:37:00,25/03/2026,Tea MINT,0,1,4.5,No,0,Lemuels
11:37:00,25/03/2026,Americano,0,1,4.5,No,0,Lemuels
11:36:00,25/03/2026,Americano,0,1,4.5,No,0,Lemuels
12:30:00,25/03/2026,Spark Small,0,1,4,No,0,Lemuels
12:30:00,25/03/2026,Orange Juice,0,1,6,No,0,Lemuels
12:38:00,25/03/2026,Diet Coke,0,1,4.5,No,0,Lemuels
12:38:00,25/03/2026,Diet Coke,0,1,4.5,No,0,Lemuels
12:31:00,25/03/2026,Spark Large,0,1,7,No,0,Lemuels
12:31:00,25/03/2026,Still W Large,0,1,7,No,0,Lemuels
12:20:00,25/03/2026,Spark Large,0,1,7,No,0,Lemuels
12:23:00,25/03/2026,Spark Small,0,1,4,No,0,Lemuels
12:19:00,25/03/2026,Spark Large,0,1,7,No,0,Lemuels
11:46:00,25/03/2026,Tea MINT,0,1,4.5,No,0,Lemuels
11:38:00,25/03/2026,Tea Iris Break,0,1,4.5,No,0,Lemuels
11:38:00,25/03/2026,Tea Early Grey,0,1,4.5,No,0,Lemuels
12:06:00,2026?03/25,Pt GUINNES,0,1,7.5,No,0,Lemuels
12:06:00,25/03/2026,Pt GUINNES,0,1,7.5,No,0,Lemuels
12:06:00,25/03/2026,Pint Heneken,0,1,8,No,0,Lemuels
12:06:00,25/03/2026,Flat White,0,1,5.5,No,0,Lemuels
12:06:00,25/03/2026,Spark Small,0,1,4,No,0,Lemuels
12:06:00,25/03/2026,Still W Small,0,1,4,No,0,Lemuels
12:54:00,25/03/2026,Latte,OAT MILK,1,5.5,No,0,Lemuels
12:58:00,25/03/2026,Flat White,Regular,1,5.5,No,0,Lemuels
13:00:00,25/03/2026,Spark Large,0,1,7,No,0,Lemuels
13:03:00,25/03/2026,Tea Iris Break,0,1,4.5,No,0,Lemuels
13:03:00,25/03/2026,Flat White,Regular,1,5.5,No,0,Lemuels
13:03:00,25/03/2026,Espresso,0,1,3.5,No,0,Lemuels
13:03:00,25/03/2026,Tea Lemon,0,1,4.5,No,0,Lemuels
13:03:00,25/03/2026,Coke Cola,0,1,4.5,No,0,Lemuels
13:26:00,25/03/2026,Cappuccino,Regular,1,5.5,No,0,Lemuels
13:26:00,25/03/2026,Americano,0,1,4.5,No,0,Lemuels
13:31:00,25/03/2026,Coke Cola,0,1,4.5,No,0,Lemuels
13:31:00,25/03/2026,Coke Cola,0,1,4.5,No,0,Lemuels
13:30:00,25/03/2026,Latte,Coconut,1,5.5,No,0,Lemuels
13:30:00,25/03/2026,Cappuccino,Regular,1,6.5,No,Vanilla,Lemuels
13:43:00,25/03/2026,Cappuccino,Regular,1,5.5,No,0,Lemuels
13:43:00,25/03/2026,Cappuccino,Regular,1,5.5,No,0,Lemuels
13:46:00,25/03/2026,Cappuccino,Regular,1,5.5,No,0,Lemuels
13:36:00,25/03/2026,Tea Iris Break,0,1,4.5,No,0,Lemuels
13:54:00,25/03/2026,Spark Small,0,1,4,No,0,Lemuels
14:09:00,25/03/2026,Pint Hophouse,0,1,8.5,No,0,Lemuels
14:33:00,25/03/2026,Americano,0,1,4.5,No,0,Lemuels
14:33:00,25/03/2026,Americano,0,1,4.5,No,0,Lemuels
14:33:00,25/03/2026,Indian Tonic,0,1,5.5,No,0,Lemuels
14:13:00,25/03/2026,Latte,Skinny,1,5.5,1,0,Lemuels
14:19:00,25/03/2026,Spark Small,0,1,4,No,0,Lemuels
14:23:00,25/03/2026,Coke Cola,0,1,4.5,No,0,Lemuels
14:23:00,25/03/2026,Sprite,0,1,4.5,No,0,Lemuels
13:22:00,25/03/2026,Cappuccino,Regular,1,5.5,No,0,Lemuels
13:22:00,25/03/2026,Cappuccino,Regular,1,5.5,No,0,Lemuels
13:22:00,25/03/2026,Macchiato,Regular,1,4,No,0,Lemuels
13:22:00,25/03/2026,Americano,0,1,4.5,No,0,Lemuels
13:21:00,25/03/2026,Americano,0,1,4.5,No,0,Lemuels
13:21:00,25/03/2026,Americano,0,1,4.5,No,0,Lemuels
13:17:00,25/03/2026,Sgl Baileys,0,1,6.5,No,0,Lemuels
13:11:00,25/03/2026,Tea PP Mint,0,1,4.5,No,0,Lemuels
13:11:00,25/03/2026,Espresso,Regular,1,3.5,No,0,Lemuels
13:13:00,25/03/2026,Peroni 330,0,1,6.5,No,0,Lemuels
13:13:00,25/03/2026,Peroni 330,0,1,6.5,No,0,Lemuels
13:13:00,25/03/2026,Sgl Teelings,0,1,12,No,0,Lemuels
13:13:00,25/03/2026,Coke Cola,0,1,4.5,No,0,Lemuels
13:07:00,25/03/2026,Spark Large,0,1,7,No,0,Lemuels
13:07:00,25/03/2026,Americano,0,1,4.5,No,0,Lemuels
13:05:00,25/03/2026,Americano,0,1,4.5,No,0,Lemuels
13:05:00,25/03/2026,Cappuccino,Regular,1,5.5,No,0,Lemuels
15:00:00,2026?03/25,Cappuccino,Regular,1,5.5,No,0,Lemuels
15:00:00,25/03/2026,Cappuccino D,OAT MILK,1,5.5,No,0,Lemuels
15:07:00,25/03/2026,Americano,0,1,4.5,No,0,Lemuels
15:07:00,25/03/2026,Americano,0,1,4.5,No,0,Lemuels
15:07:00,25/03/2026,Fanta Orange,0,1,4.5,No,0,Lemuels
14:48:00,25/03/2026,Tea Iris Break,0,1,4.5,No,0,Lemuels
14:44:00,25/03/2026,Cappuccino,OAT MILK,1,5.5,No,0,Lemuels
14:44:00,25/03/2026,Flat White,Regular,1,5.5,No,0,Lemuels
14:48:00,25/03/2026,Matcha,Coconut,1,6.5,No,0,Lemuels
14:48:00,25/03/2026,Latte,Regular,1,5.5,No,0,Lemuels
06:34:00,26/03/2026,Flat White,Regular,1,0,Yes,0,Coburt
06:38:00,26/03/2026,Tea Camomile,0,1,0,No,0,Coburt
06:37:00,26/03/2026,Americano,0,1,0,No,0,Coburt
06:46:00,26/03/2026,Tea Iris Break,0,1,0,No,0,Coburt
06:49:00,26/03/2026,Americano,0,1,0,No,0,Coburt
06:56:00,26/03/2026,Americano,0,1,0,No,0,Coburt
06:56:00,26/03/2026,Americano,0,1,0,No,0,Coburt
06:57:00,26/03/2026,Large French P,0,1,0,No,0,Coburt
07:01:00,26/03/2026,Americano,0,1,0,No,0,Coburt
07:01:00,26/03/2026,Americano,0,1,0,No,0,Coburt
07:04:00,26/03/2026,Cappuccino,Regular,1,0,No,0,Coburt
07:04:00,26/03/2026,Espresso Lungo,0,1,0,No,0,Coburt
07:07:00,26/03/2026,Cappuccino,Regular,1,0,No,0,Coburt
07:09:00,26/03/2026,Cappuccino,Regular,1,0,No,0,Coburt
07:10:00,26/03/2026,Small French P,0,1,0,No,0,Coburt
07:10:00,26/03/2026,Green tea,0,1,0,No,0,Coburt
07:10:00,26/03/2026,Small French P,0,1,0,No,0,Coburt
07:13:00,26/03/2026,Latte,Skinny,1,0,Yes,Vanilla,Coburt
07:13:00,26/03/2026,Cappuccino,Regular,1,0,No,0,Coburt
07:13:00,26/03/2026,Americano,0,1,0,No,0,Coburt
07:15:00,26/03/2026,Americano,0,1,0,No,0,Coburt
07:15:00,26/03/2026,Cappuccino,Skinny,1,0,No,0,Coburt
07:15:00,26/03/2026,D Espresso,0,1,0,No,0,Coburt
07:17:00,26/03/2026,Americano,0,1,0,No,0,Coburt
07:18:00,26/03/2026,Cappuccino,Oat Milk,1,0,No,0,Coburt
07:18:00,26/03/2026,Latte,Regular,1,0,No,0,Coburt
07:19:00,26/03/2026,Large French P,0,1,0,No,0,Coburt
07:22:00,26/03/2026,Large French P,0,1,0,No,0,Coburt
07:20:00,26/03/2026,Cappuccino,Regular,1,0,No,0,Coburt
07:24:00,26/03/2026,Tea Iris Break,0,1,0,No,0,Coburt
07:25:00,26/03/2026,Americano,0,1,0,Yes,0,Coburt
07:27:00,26/03/2026,Americano,0,1,0,No,0,Coburt
07:29:00,26/03/2026,Americano,Decaf,1,0,No,0,Coburt
07:30:00,26/03/2026,Latte,Regular,1,0,No,0,Coburt
07:31:00,28/03/2026,Chai Latte,Regular,1,0,No,0,Coburt
07:33:00,26/03/2026,Coke Cola,0,1,0,No,0,Coburt
07:31:00,26/03/2026,Cappuccino,Regular,1,0,No,0,Coburt
07:33:00,26/03/2026,Green tea,0,1,0,No,0,Coburt
07:34:00,26/03/2026,Cappuccino,Regular,1,0,No,0,Coburt
07:36:00,26/03/2026,Americano,0,1,0,No,0,Coburt
07:37:00,26/03/2026,Chai Latte,Regular,1,0,No,0,Coburt
07:37:00,26/03/2026,Americano,0,2,0,No,0,Coburt
07:37:00,26/03/2026,Tea Iris Break,0,1,0,No,0,Coburt
07:39:00,26/03/2026,Americano,0,1,0,No,0,Coburt
07:38:00,26/03/2026,Flat White,Regular,1,0,No,0,Coburt
07:38:00,26/03/2026,Green tea,0,2,0,No,0,Coburt
07:41:00,26/03/2026,Flat White,Regular,1,0,No,0,Coburt
07:45:00,26/03/2026,Americano,0,1,0,No,0,Coburt
07:45:00,26/03/2026,Cortado,Regular,1,0,No,0,Coburt
07:45:00,26/03/2026,Americano,0,1,0,No,0,Coburt
07:48:00,26/03/2026,Americano,0,1,0,No,0,Coburt
07:48:00,26/03/2026,Chai Latte,Regular,1,0,Yes,0,Coburt
07:48:00,26/03/2026,Green tea,0,1,0,No,0,Coburt
07:49:00,26/03/2026,Flat White,Regular,1,0,No,0,Coburt
07:49:00,26/03/2026,Tea Iris Break,0,2,0,No,0,Coburt
07:52:00,26/03/2026,Flat White,Coconut,1,0,No,0,Coburt
07:52:00,26/03/2026,D Espresso,0,1,0,Yes,0,Coburt
07:53:00,25/03/2026,Tea Iris Break,0,1,0,No,0,Coburt
07:52:00,26/03/2026,Latte,Regular,1,0,No,0,Coburt
07:54:00,26/03/2026,Latte,Regular,1,0,No,0,Coburt
07:54:00,26/03/2026,Americano,0,2,0,No,0,Coburt
07:56:00,26/03/2026,D Espresso,0,1,0,No,0,Coburt
08:01:00,26/03/2026,Americano,0,1,0,No,0,Coburt
08:02:00,26/03/2026,Flat White,0,1,0,No,0,Coburt
08:04:00,26/03/2026,Tea Iris Break,0,1,0,No,0,Coburt
08:05:00,26/03/2026,Americano,0,1,0,No,0,Coburt
08:06:00,26/03/2026,Cappuccino,0,1,0,No,0,Coburt
08:07:00,25/03/2026,Latte,Regular,1,0,No,0,Coburt
08:07:00,25/03/2026,Orange Juice,,2,0,No,0,Coburt
08:07:00,26/03/2026,Latte,Regular,1,0,No,0,Coburt
08:12:00,26/03/2026,Americano,0,1,0,No,0,Coburt
08:12:00,26/03/2026,Americano,0,1,0,No,0,Coburt
08:12:00,26/03/2026,Tea Iris Break,0,1,0,No,0,Coburt
08:15:00,26/03/2026,Americano,0,1,0,No,0,Coburt
08:16:00,26/03/2026,Americano,0,1,0,No,0,Coburt
08:20:00,26/03/2026,D Espresso,0,1,0,No,0,Coburt
08:21:00,26/03/2026,Flat White,Regular,1,0,No,0,Coburt
08:27:00,26/03/2026,Tea Iris Break,0,1,0,No,0,Coburt
08:27:00,26/03/2026,Cappuccino,Regular,2,0,No,0,Coburt
08:28:00,26/03/2026,Americano,0,1,0,No,0,Coburt
08:28:00,26/03/2026,Latte,Regular,2,0,No,Vanilla,Coburt
08:27:00,26/03/2026,Tea Iris Break,0,1,0,No,0,Coburt
08:32:00,26/03/2026,Latte,Regular,1,0,No,0,Coburt
08:32:00,26/03/2026,ICE Latte,OAT MILK,1,0,No,0,Coburt
08:32:00,26/03/2026,Americano,0,2,0,No,0,Coburt
08:39:00,26/03/2026,ICE Latte,Regular,1,0,Yes,0,Coburt
08:42:00,26/03/2026,Americano,0,1,0,No,0,Coburt
08:41:00,26/03/2026,Small French P,0,1,0,No,0,Coburt
08:41:00,26/03/2026,Large French P,0,1,0,No,0,Coburt
08:45:00,26/03/2026,Flat White,Regular,1,0,No,0,Coburt
08:45:00,26/03/2026,Large French P,0,1,0,No,0,Coburt
08:45:00,26/03/2026,Cappuccino,Regular,2,0,No,0,Coburt
08:45:00,26/03/2026,Latte,Regular,1,0,No,0,Coburt
08:45:00,26/03/2026,Americano,0,2,0,No,0,Coburt
08:47:00,26/03/2026,Cappuccino,Regular,1,0,No,0,Coburt
08:46:00,26/03/2026,Large French P,0,1,0,No,0,Coburt
08:46:00,26/03/2026,Latte,Regular,1,0,Yes,0,Coburt
08:47:00,26/03/2026,Cappuccino,Regular,1,0,No,0,Coburt
08:48:00,26/03/2026,Americano,0,1,0,No,0,Coburt
08:49:00,26/03/2026,Tea Iris Break,0,1,0,No,0,Coburt
08:50:00,26/03/2026,Tea Iris Break,0,1,0,No,0,Coburt
08:50:00,26/03/2026,Americano,0,2,0,No,0,Coburt
08:52:00,26/03/2026,Cappuccino,Skinny,1,0,Yes,0,Coburt
08:53:00,26/03/2026,Tea Iris Break,0,1,0,No,0,Coburt
08:53:00,26/03/2026,Americano,0,1,0,No,0,Coburt
08:56:00,26/03/2026,Latte,OAT MILK,1,0,No,0,Coburt
09:00:00,26/03/2026,Tea Iris Break,0,1,0,No,0,Coburt
09:00:00,26/03/2026,Small French P,0,2,0,No,0,Coburt
09:03:00,26/03/2026,Small French P,0,1,0,No,0,Coburt
09:05:00,26/03/2026,Americano,0,1,0,No,0,Coburt
09:03:00,26/03/2026,Americano,0,1,0,No,0,Coburt
09:06:00,26/03/2026,Large French P,0,1,0,No,0,Coburt
09:07:00,26/03/2026,Small French P,0,1,0,No,0,Coburt
09:07:00,26/03/2026,Americano,0,1,0,No,0,Coburt
09:12:00,26/03/2026,M French P,0,1,0,No,0,Coburt
09:12:00,26/03/2026,Latte,Regular,2,0,No,Vanilla,Coburt
09:16:00,26/03/2026,Americano,0,1,0,No,0,Coburt
09:15:00,26/03/2026,Cappuccino,Regular,1,0,No,0,Coburt
09:25:00,26/03/2026,Americano,0,1,0,No,0,Coburt
09:28:00,26/03/2026,Americano,0,1,0,No,0,Coburt
09:28:00,26/03/2026,Americano,0,2,0,No,0,Coburt
09:25:00,26/03/2026,Green tea,0,1,0,No,0,Coburt
09:31:00,26/03/2026,Americano,0,1,0,No,0,Coburt
09:31:00,26/03/2026,Spark Small,0,2,0,No,0,Coburt
09:31:00,26/03/2026,Americano,0,1,0,No,0,Coburt
09:39:00,26/03/2026,Americano,0,1,0,No,0,Coburt
09:39:00,26/03/2026,Americano,0,2,0,No,0,Coburt
09:38:00,28/03/2026,Americano,0,1,0,No,0,Coburt
09:43:00,26/03/2026,Tea Iris Break,0,1,0,No,0,Coburt
09:42:00,26/03/2026,Tea Iris Break,0,1,0,No,0,Coburt
09:47:00,26/03/2026,Cappuccino,Regular,1,0,No,0,Coburt
09:47:00,26/03/2026,Cappuccino,Regular,2,0,No,0,Coburt
09:57:00,26/03/2026,Latte,Regular,1,0,No,0,Coburt
09:49:00,26/03/2026,ICE Latte,Regular,1,0,No,Vanilla,Coburt
09:50:00,26/03/2026,Latte,Decaf Oat,1,0,No,0,Coburt
09:51:00,26/03/2026,Americano,0,1,0,No,0,Coburt
09:49:00,26/03/2026,Americano,0,1,0,No,0,Coburt
09:49:00,26/03/2026,Americano,0,2,0,No,0,Coburt
09:55:00,26/03/2026,Tea Iris Break,0,1,0,No,0,Coburt
09:56:00,26/03/2026,Flat White,Regular,1,0,No,0,Coburt
09:56:00,26/03/2026,Flat White,Regular,2,0,No,0,Coburt
09:56:00,26/02/2026,Flat White,Regular,3,0,No,0,Coburt
09:57:00,26/03/2026,Coke Cola,Regular,1,0,No,0,Coburt
10:01:00,26/03/2026,Americano,Decaf,1,0,No,0,Coburt
10:01:00,26/03/2026,Tea Iris Break,0,2,0,No,0,Coburt
06:35:00,26/03/2026,Americano,0,1,0,No,0,Coburt
09:49:00,26/03/2026,ICE Latte,Regular,1,0,No,Vanilla,Coburt
